transaction_id,customer_id,transaction_timestamp,merchant_category,amount,currency,status
TXN001,1001,2026-08-01T09:15:00,Electronics,850.00,USD,COMPLETED
TXN002,1002,2026-08-01T10:20:00,Grocery,120.50,USD,COMPLETED
TXN003,1003,2026-08-01T11:05:00,Travel,1250.00,GBP,COMPLETED
TXN004,1004,2026-08-02T08:45:00,Utilities,210.00,CAD,COMPLETED
TXN005,1005,2026-08-02T12:30:00,Electronics,2200.00,USD,COMPLETED
TXN006,1006,2026-08-03T14:10:00,Grocery,95.75,EUR,COMPLETED
TXN007,1007,2026-08-03T15:25:00,Travel,780.00,GBP,COMPLETED
TXN008,1008,2026-08-04T09:40:00,Electronics,1800.00,CAD,COMPLETED
TXN009,1001,2026-08-05T16:15:00,Travel,430.00,USD,COMPLETED
TXN010,1002,2026-08-05T17:05:00,Grocery,145.25,USD,COMPLETED
TXN011,1003,2026-08-06T10:15:00,Electronics,980.00,GBP,COMPLETED
TXN012,1004,2026-08-06T11:50:00,Utilities,190.00,CAD,COMPLETED
TXN013,1005,2026-08-07T13:20:00,Travel,1650.00,USD,COMPLETED
TXN014,1006,2026-08-07T14:35:00,Grocery,110.25,EUR,COMPLETED
TXN015,1007,2026-08-08T09:10:00,Electronics,640.00,GBP,COMPLETED
TXN016,1008,2026-08-08T10:45:00,Travel,1350.00,CAD,COMPLETED
TXN017,1001,2026-08-09T12:05:00,Grocery,180.00,USD,COMPLETED
TXN018,1002,2026-08-09T13:15:00,Electronics,420.00,USD,COMPLETED
TXN019,1003,2026-08-10T15:40:00,Travel,2100.00,GBP,COMPLETED
TXN020,1004,2026-08-10T16:25:00,Utilities,225.00,CAD,COMPLETED
TXN021,1005,2026-08-11T09:55:00,Electronics,3100.00,USD,COMPLETED
TXN022,1006,2026-08-11T11:10:00,Grocery,88.50,EUR,COMPLETED
TXN023,1007,2026-08-12T14:00:00,Travel,920.00,GBP,COMPLETED
TXN024,1008,2026-08-12T15:30:00,Electronics,1950.00,CAD,COMPLETED
TXN025,1001,2026-08-13T10:05:00,Electronics,760.00,USD,COMPLETED
TXN026,1002,2026-08-13T11:30:00,Grocery,130.00,USD,COMPLETED
TXN027,1003,2026-08-14T13:45:00,Travel,1450.00,GBP,COMPLETED
TXN028,1004,2026-08-14T15:15:00,Utilities,205.00,CAD,COMPLETED
TXN029,1005,2026-08-15T09:20:00,Electronics,2750.00,USD,COMPLETED
TXN030,1008,2026-08-15T16:40:00,Travel,1180.00,CAD,COMPLETED
